number_e164,label,category,confidence,risk_level,source,updated_at
33162000049,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000050,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000051,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000052,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000053,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000054,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000055,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000056,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000057,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000058,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000059,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000060,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000061,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000062,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000063,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000064,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000065,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000066,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000067,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000068,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000069,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000070,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000071,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000072,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000073,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000074,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000075,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000076,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000077,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000078,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000079,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000080,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000081,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000082,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000083,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000084,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000085,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000086,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000087,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000088,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000089,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000090,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000091,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000092,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000093,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000094,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000095,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000096,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000097,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000098,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000099,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000100,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000101,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000102,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000103,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000104,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000105,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000106,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000107,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000108,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000109,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000110,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000111,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000112,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000113,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000114,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000115,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000116,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000117,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000118,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000119,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000120,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000121,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000122,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000123,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000124,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000125,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000126,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000127,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000128,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000129,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000130,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000131,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000132,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000133,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000134,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000135,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000136,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000137,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000138,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000139,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000140,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000141,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000142,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000143,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000144,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000145,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000146,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000147,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000148,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000149,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000150,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000151,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000152,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000153,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000154,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000155,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000156,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000157,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000158,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000159,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000160,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000161,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000162,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000163,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000164,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000165,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000166,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000167,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000168,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000169,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000170,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000171,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000172,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000173,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000174,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000175,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000176,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000177,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000178,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000179,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000180,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000181,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000182,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000183,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000184,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000185,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000186,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000187,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000188,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000189,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000191,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000192,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000193,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000194,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000195,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000196,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000197,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000198,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000199,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000200,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000201,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000202,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000203,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000204,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000205,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000206,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000207,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000208,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000209,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000210,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000211,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000212,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000213,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000214,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000215,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000216,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000217,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000218,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000219,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000220,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000221,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000222,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000223,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000224,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000225,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000226,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000227,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000228,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000229,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000230,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000231,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000232,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000233,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000234,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000235,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000236,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000237,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000238,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000239,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000240,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000241,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000242,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000243,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000244,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000245,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000246,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000247,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000248,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000249,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000250,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000251,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000252,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000253,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000254,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000255,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000256,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000257,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000258,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000259,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000260,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000261,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000262,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000263,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000264,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000265,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000266,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000267,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000268,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000269,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000270,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000271,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000272,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000273,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000274,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000275,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000276,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000277,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000278,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000279,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000280,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000281,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000282,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000283,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000284,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000285,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000286,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000287,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000288,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000289,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000290,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000291,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000292,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000293,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000294,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000295,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000296,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000297,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000298,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000299,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000300,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000301,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000302,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000303,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000304,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000305,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000306,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000307,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000308,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000309,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000310,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000311,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000312,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000313,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000314,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000315,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000316,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000317,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000318,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000319,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000320,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000321,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000322,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000323,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000324,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000325,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000326,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000327,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000328,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000329,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000330,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000331,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000332,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000333,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000334,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000335,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000336,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000337,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000338,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000339,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000340,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000341,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000342,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000343,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000344,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000345,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000346,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000347,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000348,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000349,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000350,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000351,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000352,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000353,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000354,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000355,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000356,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000357,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000358,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000359,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000360,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000361,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000362,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000363,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000364,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000365,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000366,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000367,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000368,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000369,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000370,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000371,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000372,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000373,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000374,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000375,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000376,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
33162000377,Fraude probable,fraud,0.99,95,pipeline_v2,2026-03-15
